Date,Price,Open,High,Low,Vol.,Change %
07/18/2021,599.00,592.00,602.00,551.00,453.84K,0.34%
07/11/2021,597.00,607.50,618.75,587.50,294.57K,-2.13%
07/04/2021,610.00,612.25,623.25,581.00,215.72K,-0.20%
06/27/2021,611.25,608.00,614.50,590.50,237.22K,0.87%
06/20/2021,606.00,591.25,609.75,585.75,353.33K,2.11%
06/13/2021,593.50,589.75,606.00,582.50,394.48K,0.68%
06/06/2021,589.50,583.25,593.50,573.25,255.76K,1.42%
05/30/2021,581.25,561.50,585.25,560.00,158.20K,2.79%
05/23/2021,565.50,546.00,568.75,545.50,256.11K,3.48%
05/16/2021,546.50,559.00,571.00,532.75,408.97K,-1.93%
05/09/2021,557.25,553.00,564.00,542.25,268.07K,1.23%
05/02/2021,550.50,534.50,561.50,529.75,199.97K,3.14%
04/25/2021,533.75,524.25,549.50,512.75,238.23K,1.67%
04/18/2021,525.00,531.00,536.75,513.00,334.62K,-1.22%
04/11/2021,531.50,505.25,536.50,500.75,278.68K,5.51%
04/04/2021,503.75,508.25,511.75,487.75,201.13K,1.51%
03/28/2021,496.25,511.50,515.75,492.75,193.39K,-2.84%
03/21/2021,510.75,515.25,518.00,482.00,356.05K,0.05%
03/14/2021,510.50,551.25,556.50,488.75,515.19K,-7.73%
03/07/2021,553.25,557.00,564.50,529.00,211.79K,1.05%
02/28/2021,547.50,530.25,555.00,508.25,271.35K,2.91%
02/21/2021,532.00,517.25,548.00,517.25,302.06K,1.72%
02/14/2021,523.00,510.00,532.75,510.00,545.81K,4.03%
02/07/2021,502.75,487.50,510.00,487.25,234.83K,3.13%
01/31/2021,487.50,447.25,490.00,445.25,241.73K,8.27%
01/24/2021,450.25,447.00,459.25,445.00,294.27K,0.22%
01/17/2021,449.25,452.00,462.00,441.25,379.45K,-0.61%
01/10/2021,452.00,448.00,465.75,439.25,312.27K,1.86%
01/03/2021,443.75,423.00,449.50,413.75,257.51K,5.47%
12/27/2020,420.75,424.50,431.50,420.00,129.94K,-0.65%
12/20/2020,423.50,431.75,432.75,407.25,222.41K,-2.31%
12/13/2020,433.50,412.75,435.00,406.75,370.73K,5.22%
12/06/2020,412.00,399.00,416.75,393.75,227.20K,3.65%
11/29/2020,397.50,390.50,407.25,380.50,225.87K,1.53%
11/22/2020,391.50,363.25,399.00,363.00,291.59K,8.90%
11/15/2020,359.50,345.00,366.25,344.25,410.97K,4.28%
11/08/2020,344.75,325.25,369.25,324.75,211.26K,6.82%
11/01/2020,322.75,302.00,333.25,286.25,200.65K,5.82%
10/25/2020,305.00,330.50,331.00,295.75,286.83K,-8.96%
10/18/2020,335.00,342.50,345.50,326.50,343.58K,-2.83%
